name,country,event_count,start_date,end_date,conflict_date,modified_conflict_date
Metema,Ethiopia,2,29-09-2023,12-01-2024,105,112
Meteteh Bila,Ethiopia,2,23-10-2023,12-01-2024,81,88
Meti,Ethiopia,1,24-11-2023,12-01-2024,49,56
Mezezo,Ethiopia,2,10-05-2023,12-01-2024,247,254
Mida,Ethiopia,1,09-11-2023,12-01-2024,64,71
Minare,Ethiopia,5,19-10-2023,12-01-2024,85,92
Minjar,Ethiopia,5,12-10-2023,12-01-2024,92,99
Motta,Ethiopia,4,21-11-2023,12-01-2024,52,59
Moyale,Ethiopia,2,20-11-2023,12-01-2024,53,60
Mude,Ethiopia,2,31-05-2023,12-01-2024,226,233
Muja,Ethiopia,1,25-06-2023,12-01-2024,201,208
Muke Turi,Ethiopia,4,17-12-2023,12-01-2024,26,33
Mulo town,Ethiopia,1,15-02-2023,12-01-2024,331,338
Negele,Ethiopia,2,18-12-2023,12-01-2024,25,32
Nekemt,Ethiopia,1,04-09-2023,12-01-2024,130,137
Nenesebo,Ethiopia,1,24-02-2023,12-01-2024,322,329
Neseri Menehoro,Ethiopia,1,26-08-2023,12-01-2024,139,146
Oda Dalota,Ethiopia,1,14-06-2023,12-01-2024,212,219
Odo Olonkomi,Ethiopia,1,11-10-2023,12-01-2024,93,100
Pinyikew,Ethiopia,1,20-07-2023,12-01-2024,176,183
Quara,Ethiopia,1,29-09-2023,12-01-2024,105,112
Rama,Ethiopia,3,27-11-2023,12-01-2024,46,53
Refiso Kameno,Ethiopia,1,16-08-2023,12-01-2024,149,156
Rema,Ethiopia,1,11-06-2023,12-01-2024,215,222
Sanka,Ethiopia,1,31-07-2023,12-01-2024,165,172
Sasiga,Ethiopia,1,16-08-2023,12-01-2024,149,156
Sekota,Ethiopia,3,03-08-2023,12-01-2024,162,169
Selelkula,Ethiopia,4,01-01-2024,12-01-2024,11,18
Senbete,Ethiopia,8,05-01-2024,12-01-2024,7,14
Seyo,Ethiopia,7,15-01-2023,12-01-2024,362,369
Shakiso,Ethiopia,2,21-05-2023,12-01-2024,236,243
Shambu,Ethiopia,2,04-09-2023,12-01-2024,130,137
